Calculated Z (nm)   Deflection {nN)     
Extend Data
1.187500e+002       -6.531143e-002      
1.191406e+002       -6.543732e-002      
1.195313e+002       -6.444168e-002      
1.199219e+002       -6.362915e-002      
1.203125e+002       -6.733704e-002      
1.207031e+002       -6.673050e-002      
1.210938e+002       -6.758881e-002      
1.214844e+002       -6.365204e-002      
1.218750e+002       -6.234741e-002      
1.222656e+002       -6.911087e-002      
1.226563e+002       -6.792068e-002      
1.230469e+002       -6.311417e-002      
1.234375e+002       -6.834412e-002      
1.238281e+002       -6.462479e-002      
1.242188e+002       -6.698227e-002      
1.246094e+002       -6.422424e-002      
1.250000e+002       -6.493378e-002      
1.253906e+002       -6.666183e-002      
1.257813e+002       -6.314850e-002      
1.261719e+002       -6.603241e-002      
1.265625e+002       -6.589508e-002      
1.269531e+002       -6.681061e-002      
1.273438e+002       -6.481934e-002      
1.277344e+002       -6.265640e-002      
1.281250e+002       -6.388092e-002      
1.285156e+002       -6.374359e-002      
1.289063e+002       -6.524277e-002      
1.292969e+002       -6.428146e-002      
1.296875e+002       -6.523132e-002      
1.300781e+002       -6.311417e-002      
1.304688e+002       -6.571198e-002      
1.308594e+002       -6.402969e-002      
1.312500e+002       -6.407547e-002      
1.316406e+002       -6.512833e-002      
1.320313e+002       -6.533432e-002      
1.324219e+002       -6.299973e-002      
1.328125e+002       -6.505966e-002      
1.332031e+002       -6.144333e-002      
1.335938e+002       -6.491089e-002      
1.339844e+002       -6.582642e-002      
1.343750e+002       -6.650162e-002      
1.347656e+002       -6.644440e-002      
1.351563e+002       -6.517410e-002      
1.355469e+002       -6.024170e-002      
1.359375e+002       -6.231308e-002      
1.363281e+002       -6.429291e-002      
1.367188e+002       -6.258774e-002      
1.371094e+002       -6.410980e-002      
1.375000e+002       -6.301117e-002      
1.378906e+002       -6.261063e-002      
1.382813e+002       -6.311417e-002      
1.386719e+002       -6.128311e-002      
1.390625e+002       -6.475067e-002      
1.394531e+002       -6.464767e-002      
1.398438e+002       -6.241608e-002      
1.402344e+002       -6.152344e-002      
1.406250e+002       -6.067657e-002      
1.410156e+002       -6.613541e-002      
1.414063e+002       -6.463623e-002      
1.417969e+002       -6.483078e-002      
1.421875e+002       -6.508255e-002      
1.425781e+002       -6.092834e-002      
1.429688e+002       -6.302261e-002      
1.433594e+002       -6.520844e-002      
1.437500e+002       -6.512833e-002      
1.441406e+002       -6.369781e-002      
1.445313e+002       -6.108856e-002      
1.449219e+002       -6.041336e-002      
1.453125e+002       -6.105423e-002      
1.457031e+002       -6.055069e-002      
1.460938e+002       -6.307983e-002      
1.464844e+002       -6.413269e-002      
1.468750e+002       -6.132889e-002      
1.472656e+002       -6.158066e-002      
1.476563e+002       -6.488800e-002      
1.480469e+002       -6.128311e-002      
1.484375e+002       -6.345749e-002      
1.488281e+002       -6.226730e-002      
1.492188e+002       -6.365204e-002      
1.496094e+002       -6.321716e-002      
1.500000e+002       -6.128311e-002      
1.503906e+002       -6.120300e-002      
1.507813e+002       -6.286240e-002      
1.511719e+002       -6.279373e-002      
1.515625e+002       -6.340027e-002      
1.519531e+002       -6.499100e-002      
1.523438e+002       -6.365204e-002      
1.527344e+002       -6.543732e-002      
1.531250e+002       -5.968094e-002      
1.535156e+002       -6.081390e-002      
1.539063e+002       -6.398392e-002      
1.542969e+002       -6.184387e-002      
1.546875e+002       -6.328583e-002      
1.550781e+002       -5.886841e-002      
1.554688e+002       -6.457901e-002      
1.558594e+002       -6.203842e-002      
1.562500e+002       -5.876541e-002      
1.566406e+002       -6.257629e-002      
1.570313e+002       -6.353760e-002      
1.574219e+002       -6.011581e-002      
1.578125e+002       -6.167221e-002      
1.582031e+002       -6.431580e-002      
1.585938e+002       -6.529999e-002      
1.589844e+002       -6.034470e-002      
1.593750e+002       -6.271362e-002      
1.597656e+002       -6.340027e-002      
1.601563e+002       -6.126022e-002      
1.605469e+002       -6.126022e-002      
1.609375e+002       -6.391525e-002      
1.613281e+002       -6.243896e-002      
1.617188e+002       -6.198120e-002      
1.621094e+002       -6.015015e-002      
1.625000e+002       -6.076813e-002      
1.628906e+002       -6.384659e-002      
1.632813e+002       -6.099701e-002      
1.636719e+002       -6.148911e-002      
1.640625e+002       -6.147766e-002      
1.644531e+002       -5.970383e-002      
1.648438e+002       -6.120300e-002      
1.652344e+002       -5.859375e-002      
1.656250e+002       -6.136322e-002      
1.660156e+002       -6.082535e-002      
1.664063e+002       -5.982971e-002      
1.667969e+002       -6.103134e-002      
1.671875e+002       -5.751801e-002      
1.675781e+002       -5.879974e-002      
1.679688e+002       -5.986404e-002      
1.683594e+002       -6.200409e-002      
1.687500e+002       -5.971527e-002      
1.691406e+002       -6.110001e-002      
1.695313e+002       -5.838776e-002      
1.699219e+002       -6.280518e-002      
1.703125e+002       -6.175232e-002      
1.707031e+002       -5.921173e-002      
1.710938e+002       -6.089401e-002      
1.714844e+002       -5.944061e-002      
1.718750e+002       -5.973816e-002      
1.722656e+002       -6.140900e-002      
1.726563e+002       -6.138611e-002      
1.730469e+002       -6.209564e-002      
1.734375e+002       -6.241608e-002      
1.738281e+002       -6.134033e-002      
1.742188e+002       -6.073380e-002      
1.746094e+002       -6.077957e-002      
1.750000e+002       -6.039047e-002      
1.753906e+002       -5.796432e-002      
1.757813e+002       -6.356049e-002      
1.761719e+002       -6.113434e-002      
1.765625e+002       -6.122589e-002      
1.769531e+002       -6.098557e-002      
1.773438e+002       -6.044769e-002      
1.777344e+002       -6.202698e-002      
1.781250e+002       -6.167221e-002      
1.785156e+002       -6.034470e-002      
1.789063e+002       -5.855942e-002      
1.792969e+002       -6.056213e-002      
1.796875e+002       -6.154633e-002      
1.800781e+002       -5.733490e-002      
1.804688e+002       -5.502319e-002      
1.808594e+002       -5.855942e-002      
1.812500e+002       -5.973816e-002      
1.816406e+002       -6.000137e-002      
1.820313e+002       -6.171799e-002      
1.824219e+002       -6.180954e-002      
1.828125e+002       -6.051636e-002      
1.832031e+002       -6.207275e-002      
1.835938e+002       -5.891418e-002      
1.839844e+002       -6.143188e-002      
1.843750e+002       -6.196976e-002      
1.847656e+002       -6.330872e-002      
1.851563e+002       -5.849075e-002      
1.855469e+002       -6.151199e-002      
1.859375e+002       -6.120300e-002      
1.863281e+002       -5.784988e-002      
1.867188e+002       -5.950928e-002      
1.871094e+002       -6.132889e-002      
1.875000e+002       -6.156921e-002      
1.878906e+002       -6.305695e-002      
1.882813e+002       -5.940628e-002      
1.886719e+002       -6.114578e-002      
